ID	ZT3	ZT6	ZT9	ZT3	ZT21	ZT18	ZT24	ZT6	ZT0	ZT12	ZT15	ZT0	ZT9	ZT21	ZT21	ZT3	ZT12	ZT9	ZT6	ZT15	ZT9	ZT0	ZT15	ZT21	ZT15	ZT18	ZT3	ZT12	ZT24	ZT24	ZT18	ZT18	ZT12	ZT6	ZT0	ZT24
13_null	183.9567597152148	183.57571267756242	182.90205617102697		183.37953560268002	183.1192812271151	182.02609654020785	182.24236654028635	183.08868070794176	181.93572746441254	181.49870596694188		184.6144725447003	183.56987177990453	182.835365826106	184.35500572547562	182.50437462583992	184.8672360163377	182.44053522598568	185.8027925228932	182.459708502728	183.62684249382875	182.83166738961918	183.88981798157963	183.44929493003312	181.05284987560444	182.36234456786875	183.0185796703711	182.53935967007234	182.47000681062065	181.82047864734906	182.73239111970747	182.1747083425893	183.48121962577963	182.46649249299017	183.49955340358525
0_cyc	24.44273688735568	23.402160578593975	20.742506663722985	24.196592707567866	25.67911213506214	26.548789257151558	27.064465766967775	21.246244264937364	26.761188029594823	22.121468678927652	23.87362261376017	26.38275743664835	22.29391136357989	27.075437908631297	28.121408208090042	24.24001184530328	22.62632098866347	22.86183051744192	23.325346099465882	22.150016778888656	19.741940331274897	26.02173577547155	22.49988674968293	29.091075966115973	24.735764639908375	26.315546365102684	25.95762145359953	21.645011941889262	26.045863975471807	25.934572143986866	26.65317793999363	27.20020867955495	23.732238906258296	23.540764049026347	25.535841638736905	27.13490361135713
1_cyc					-39.43669338019641						-37.66525459402193		-40.71237505823342				-38.665865729200114		-41.16638713483302								-42.55034201021214				-38.5139753737688				-42.93905714938966	-41.700353436216034
2_cyc		-99.27855696945014	-99.50939420289363		-104.0971767846397	-105.27692646127346	-101.6529520286494	-99.76492951869399	-100.538939320083	-104.19828806032393	-103.80881506103093	-102.65555766112686	-99.46318737305675	-104.58553091388197	-104.99934021361568		-101.88079674292558	-100.95345233770688	-101.40909209086652	-103.32255850652356	-100.0427296696319	-102.3843707303565	-103.50926916774186	-103.27196918589819	-103.98858456409918	-105.5078282270436		-102.4200785908343	-102.74461358075399	-101.72373654985543	-106.86674339627656	-105.46415842895581	-102.1710351153142	-97.85268618066604	-101.24310806860233	-101.67171465133265
3_cyc	-48.12869085562242	-50.49631799900977	-50.77418283297527	-47.63631233403471	-44.622897625946244	-42.85148809890532	-44.108244647497564	-51.142003924408954	-47.176574035153415	-49.03974202035645	-48.30071807573674	-44.93641885200961	-51.33852857641054	-44.927693940968254	-43.720668694550966	-48.127620748016	-49.24904315374134	-50.66993589318695	-49.77606145864322	-48.41834152381429	-48.70061414597223	-45.96384359666117	-45.08971719057953	-43.29257387778159	-46.6889789603591	-44.35838399856392	-48.0350807438987	-49.63022112884966	-45.83676457199704	-43.24130280754678	-45.58248477108537	-45.60545349770916	-48.55076891295047	-49.41936648392068	-44.33848994562128	-45.12005902357185
4_cyc	72.65701472320741	76.42486766067287	74.82842536241606	71.44871589931975	69.93349096812312	72.87303336296253	70.08105003084977	75.07354368547708	68.5303037844933	73.86145738474691	74.73473573903102	70.19482690114796	75.90739746878911	70.03238379644522	70.09783992490597	71.2399400061019	74.47966088598129	77.66284911934908	72.76203359539481	73.8103470505086	77.07934174462414	68.79564258325607	72.08404375336526	69.44498016843032	71.99078397818067	71.29099500734323	70.73226383044221	75.33447429712258	71.06802396379457	71.08198514458475	72.58695151552287	72.07817688410225	72.97332465433945	73.60478389538439	70.04247651666768	70.18348348991596
14_null	-80.60921356003124	-79.02207668607544	-76.13948136265074	-78.81983721094589	-80.06389987577496	-78.9429011575451	-78.28753426293547	-77.9037149966659	-78.8194165938691	-78.18930956996708	-78.33625454034015	-78.48437572866382	-81.13727070918806	-81.12542843937597	-79.1044767038259	-80.06187134799212	-81.04825241934002	-78.80687180410663	-78.10644611435774	-79.04260765691865	-79.37460673921444	-78.20030578300549	-77.65318541995242	-78.7224655263568	-78.12801415732312	-78.93040421296188	-77.19929510902485	-79.1668331843588	-79.47938654920446	-78.84120720073115	-79.36153625736628	-80.51234585791552	-77.84458107032319	-81.81424065597848	-78.03783571107233	-79.14583632722544
7_cyc	-13.336100476776844	-18.143797646543195	-16.881211831183933	-13.571414795416063	-12.405688135114362	-14.82831426208815	-11.108621965913578	-17.73051188293228	-13.092752048760012	-17.61051112866042	-17.02009179627831	-14.534861553659443	-16.31243932655754	-13.149393053268284	-13.457939989169716	-14.219069302799449	-17.799130036648737	-18.28948171282583	-17.0853812442719	-16.24731755767787	-18.08466812965635	-11.147461253487698	-17.725444026436612	-12.741087798236514	-14.972687339987795	-13.575555002389633	-13.266985994633012	-16.94713028991114	-10.519762354656411	-12.001874978304448	-12.999871233660759	-13.877575724308445	-18.28536936246997	-15.995239294669645	-11.909219055431635	-14.224635003375004
10_null	10.771745463011223	10.064666013109237	12.096134846635366	12.45772005499	12.001991241280386	9.905606094293134	10.630284644242819	11.627031691331704	10.604780276714767	10.373833955484763	11.515867332146613	10.320685707652041	12.279890282361146	9.751649862027511	11.860257192143841	11.599982843991812	10.722297547720835	10.488768892660131	11.323396587674894	11.952133146009116	12.971137547418257	10.603416352605366	7.989007269422201	12.471450082818617	11.104437860643229	10.569477896089229	9.665223032075918	12.039467620827972	10.49869221973046	10.06681849721103	11.220893056102529	10.90565725754219	10.741043626986997	11.33555626527972	11.497298725656693	11.815690716537699
zero	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
