ID	ZT0	ZT21	ZT12	ZT24	ZT6	ZT24	ZT12	ZT6	ZT21	ZT18	ZT3	ZT3	ZT0	ZT15	ZT9	ZT18	ZT15	ZT9
0_cyc	-25.643234118985696	-26.81709747162689	-31.596759773200183	-27.067144848991273	-27.7517335071186	-25.483185449843518	-31.955996689672418	-27.7032546954846	-28.200372429159493	-31.067748377315638	-24.11137363170947	-24.909829953882053	-27.672703461900426	-32.961794456581195	-30.587606749651627	-30.757046468632595	-34.6952652370242	-29.741417437533194
1_cyc			-18.00440202358241	-22.83035532694479				-22.711448319213975	-20.698479199586856		-24.987548302900475		-21.69979660893477			-18.736091695357626	-19.007287153207173	-20.9567399039765
2_cyc	-72.34628735865594	-74.65488553524476	-76.0139465145138	-73.27622761511566	-72.78044164426787	-69.73663506051203	-76.36766064561752	-72.67744814956298	-74.53839043635655	-76.5416376864796			-71.03909881151574	-79.12395616832771	-74.96205583602062	-74.97384385303415	-76.73209943014197	-71.93187177123785
3_cyc	36.2224770639329	33.20425670502654	31.70364524751519	36.11776157814855	37.35603465210378	34.58785209015237	31.211751735311182	35.1072431237394	33.39523165822754	31.187321342876295	36.607328733912055	37.5735649900133	34.654839674788775	30.68130401549927	31.76903231317268	29.960958955396634	29.385919358707476	33.79577232213624
4_cyc	-68.6633238935975	-66.6564052387642	-66.29602136848843	-69.88796100485698	-69.13282725461065	-69.63494876495834	-64.64394119524286	-70.08674935082368	-65.08022651259327	-65.67294566383639	-71.84870522961188	-68.3559711776146	-70.1385240519441	-63.702500333934545	-67.12583317346365	-65.74227556751957	-64.88978085627322	-67.19965190148609
5_cyc	-48.194731654956	-48.71752694436826	-54.07345329553419	-49.63416155908326	-52.3949890508068	-47.49855604269351	-52.42419046437602	-52.448761756385984	-46.614030387365005	-46.58110779420141	-50.79879722729035	-52.780740667187644	-48.06092623508854	-50.544605245968306	-53.76831522623071	-49.42673147201643	-47.64838394842024	-53.718620270639725
6_cyc	-112.0048545301388	-108.22325831801932	-110.04408878627177	-110.76380743997538	-113.12002767449478	-110.89943355144493	-110.28296925002147	-112.96943066828267	-108.06101770514948	-108.49253882656357	-114.5830400879623	-114.48917871284957	-111.66351576272736	-108.10581114521165	-112.95513887906307	-108.91017775514653	-108.2273758628964	-111.99397282821178
7_cyc	-121.52476671473164	-121.05311001942394	-127.94230370954104	-121.14481934374997	-123.1801383762907	-119.66336482559963	-126.79512260771031	-124.94578046177374	-121.14629371649566	-123.67896297524679	-121.92313908924051	-123.0814911704321	-121.87045527338114	-122.88456033681408	-125.34329675291367	-125.20030250644173	-126.42437589436597	-126.3099605548468
8_cyc	-112.7935803607892	-114.55758741296664	-112.17078940068131	-111.1535454466591	-109.06046401772912	-110.41611046591082	-110.45095863253306	-109.63787073871578	-114.38779013882406	-114.05380871354652	-108.82871570102988	-110.2006134373001	-109.37253694507515	-113.4570022234781	-109.23279663868345	-112.37767042141361	-116.08499796972241	-108.99765177859496
9_cyc	-8.563155301841618	-7.307940758358765	-14.327225752680544	-9.736327224577014	-13.879870382059648	-8.625128736941866	-12.875300613531614	-15.10947217058544	-8.557085347729966	-8.69607520223377	-10.928479846622398	-11.695879061229247	-11.571918630769554	-10.536498831154447	-15.836516434950333	-7.5050953647189615	-12.114801297155061	-14.579584282155256
10_null	17.025758543414547	16.229090692293806	17.076676109819267	17.740139518104385	18.37376184893553	16.690330636308623	15.692782547437183	16.024818232128563	19.53879444530316	17.30341897445276	17.284517962467916	17.730344363337206	16.497753781342883	19.363388204008782	17.270572692175055	17.534752248896194	18.18561011362124	16.97705105323544
11_null			148.36865814276203	151.20059852156564				149.03929724735625	150.29582431274554		149.56729775903855		151.4102722481229			148.76461991067748	150.25071618256914	148.77860219592552
12_null	-15.64442195594956	-18.216943225581375	-17.52475663321982	-17.393465214179173	-14.96067911669296	-17.57449043205704	-16.647139444382905	-15.935027810578992	-16.380402141904	-16.422835786417334			-16.249690559254955	-15.676254886085758	-18.00602471381735	-16.780312849074466	-16.576884549373766	-15.916002753425607
13_null	-188.10606510701535	-188.14017475515234	-189.1089871035879	-188.9973255227733	-190.17594271272068	-187.93279602535767	-188.89902993821656	-186.8290002658936	-188.4040323219091	-188.1574197856228	-190.42466261144637		-188.79045173865214	-189.7236574394036		-187.6176489063027	-187.34387832298057	-187.95420945924667
14_null	-173.62102612581705	-172.31300447144355	-174.56330221059642	-172.34074389298374	-174.02404023702508	-174.11534134120478	-173.0311315798944	-171.35429400943727	-173.5051043983696	-172.62931429040776	-172.27407523779615	-172.2093118248561	-174.9016765622468	-171.88935748380214	-173.19309591929584	-171.98357671436423	-172.12380001167318	-172.17444614973934
15_null	102.83073744641125	103.45585999162378	103.74876428231113	102.32348736953506	102.04384721788396	100.88530781926305	102.10678969291962	103.6502373100803	103.13804178762092	102.64875332128098	103.33843278455747	103.85290680539968	102.88110327607413	103.4222079098537	101.91526185875506	104.28674268606012	103.0357717175242	103.53805143802336
16_null	-66.7276124626478	-66.80263180452845	-69.79006404831426	-69.4502092130691	-69.12546047349463	-67.0825828708555	-67.14878557978446	-65.93562178989775	-68.252172193852	-69.2011365984023	-68.10034121260709	-67.49926427024045	-68.10915936275866	-68.14007108744973	-67.12936917133896	-67.52089096554873	-68.46544264525289	-69.71873546410775
17_null	-45.992800320344294	-44.214226453371005	-44.482414467116556	-45.070974074283136	-44.77770521321023	-43.26028957893502	-46.38091034703622	-45.73652073968285	-44.729701042234375	-44.11330445225079	-43.76520751151545	-44.68397359759459	-44.08640901598007	-44.63784758170285	-43.52022768525617	-46.224060736796616	-45.172659292989294	-45.294178915638625
18_null	-59.61185316978215	-59.02321936538509	-59.9848899138719	-58.481474097690686	-60.902441861845375	-61.90724903654819	-59.86923576116759	-57.987609078512335	-59.74817817223273	-59.19409190742018	-58.951909194217336	-59.80379709899419	-59.80183026319359	-59.602696598426846	-59.2251091806775	-59.93911338223682	-58.90631335381329	-58.862784097902555
19_null	187.4467091292815	187.35802023932354	186.7459617103559	187.7875670469009	187.16415473666484	188.88198250265538	186.87293072983485	186.33857340135177	186.87411248861014	186.6936284735393	186.41602731440312	186.82901274993887	188.1035512044981	187.76101382523476	188.43918271399986	188.53830185074222	188.70966626638193	187.32337326472742
missing																		
zero	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
one	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
